,State,Under 18 years,18 to 64 years,65 years and over,Total,Proportion under 18,Proportion between 18 and 64,Proportion 65 and older
0,Alabama ,1085597.0,2963276.0,854312.0,4903185.0,0.221,0.604,0.174
1,Alaska ,179749.0,461208.0,90588.0,731545.0,0.246,0.63,0.124
2,Arizona ,1639648.0,4331828.0,1307241.0,7278717.0,0.225,0.595,0.18
3,Arkansas ,699012.0,1794555.0,524237.0,3017804.0,0.232,0.595,0.174
4,California ,8891064.0,24786161.0,5834998.0,39512223.0,0.225,0.627,0.148
5,Colorado ,1256320.0,3657038.0,845378.0,5758736.0,0.218,0.635,0.147
6,Connecticut ,727432.0,2208823.0,629032.0,3565287.0,0.204,0.62,0.176
7,Delaware ,203946.0,580180.0,189638.0,973764.0,0.209,0.596,0.195
8,District of Columbia ,127901.0,490311.0,87537.0,705749.0,0.181,0.695,0.124
9,Florida ,4231955.0,12747584.0,4498198.0,21477737.0,0.197,0.594,0.209
10,Georgia ,2503029.0,6591202.0,1523192.0,10617423.0,0.236,0.621,0.143
11,Hawaii ,300187.0,846215.0,269470.0,1415872.0,0.212,0.598,0.19
12,Idaho ,449355.0,1049093.0,288617.0,1787065.0,0.251,0.587,0.162
13,Illinois ,2814679.0,7811781.0,2045361.0,12671821.0,0.222,0.616,0.161
14,Indiana ,1567421.0,4080326.0,1084472.0,6732219.0,0.233,0.606,0.161
15,Iowa ,721830.0,1879665.0,553575.0,3155070.0,0.229,0.596,0.175
16,Kansas ,700301.0,1735017.0,477996.0,2913314.0,0.24,0.596,0.164
17,Kentucky ,1001825.0,2711289.0,754559.0,4467673.0,0.224,0.607,0.169
18,Louisiana ,1084886.0,2821714.0,742194.0,4648794.0,0.233,0.607,0.16
19,Maine ,246353.0,811881.0,285978.0,1344212.0,0.183,0.604,0.213
20,Maryland ,1332287.0,3753506.0,959887.0,6045680.0,0.22,0.621,0.159
21,Massachusetts ,1351777.0,4368433.0,1172293.0,6892503.0,0.196,0.634,0.17
22,Michigan ,2142822.0,6077626.0,1766409.0,9986857.0,0.215,0.609,0.177
23,Minnesota ,1302669.0,3415472.0,921491.0,5639632.0,0.231,0.606,0.163
24,Mississippi ,698420.0,1790925.0,486804.0,2976149.0,0.235,0.602,0.164
25,Missouri ,1372695.0,3706790.0,1057943.0,6137428.0,0.224,0.604,0.172
26,Montana ,226524.0,634345.0,207909.0,1068778.0,0.212,0.594,0.195
27,Nebraska ,475096.0,1147017.0,312295.0,1934408.0,0.246,0.593,0.161
28,Nevada ,690737.0,1891200.0,498219.0,3080156.0,0.224,0.614,0.162
29,New Hampshire ,256020.0,850544.0,253147.0,1359711.0,0.188,0.626,0.186
30,New Jersey ,1938024.0,5469091.0,1475075.0,8882190.0,0.218,0.616,0.166
31,New Mexico ,473850.0,1245249.0,377730.0,2096829.0,0.226,0.594,0.18
32,New York ,4022096.0,12135497.0,3295968.0,19453561.0,0.207,0.624,0.169
33,North Carolina ,2293972.0,6443177.0,1750935.0,10488084.0,0.219,0.614,0.167
34,North Dakota ,176706.0,465179.0,120177.0,762062.0,0.232,0.61,0.158
35,Ohio ,2574847.0,7070705.0,2043548.0,11689100.0,0.22,0.605,0.175
36,Oklahoma ,952229.0,2369520.0,635222.0,3956971.0,0.241,0.599,0.161
37,Oregon ,862816.0,2587425.0,767496.0,4217737.0,0.205,0.613,0.182
38,Pennsylvania ,2632325.0,7781446.0,2388218.0,12801989.0,0.206,0.608,0.187
39,Puerto Rico ,572734.0,1941295.0,679665.0,3193694.0,0.179,0.608,0.213
40,Rhode Island ,203575.0,668631.0,187155.0,1059361.0,0.192,0.631,0.177
41,South Carolina ,1112300.0,3100876.0,935538.0,5148714.0,0.216,0.602,0.182
42,South Dakota ,215269.0,515591.0,153799.0,884659.0,0.243,0.583,0.174
43,Tennessee ,1510752.0,4179457.0,1138965.0,6829174.0,0.221,0.612,0.167
44,Texas ,7396631.0,17860523.0,3738727.0,28995881.0,0.255,0.616,0.129
45,Utah ,930308.0,1910452.0,365198.0,3205958.0,0.29,0.596,0.114
46,Vermont ,113559.0,385229.0,125201.0,623989.0,0.182,0.617,0.201
47,Virginia ,1857605.0,5319578.0,1358336.0,8535519.0,0.218,0.623,0.159
48,Washington ,1662965.0,4744243.0,1207685.0,7614893.0,0.218,0.623,0.159
49,West Virginia ,358818.0,1065929.0,367400.0,1792147.0,0.2,0.595,0.205
50,Wisconsin ,1263412.0,3539126.0,1019896.0,5822434.0,0.217,0.608,0.175
51,Wyoming ,134189.0,345781.0,98789.0,578759.0,0.232,0.597,0.171
